,cityname,pname,Mix,Shape_Length,Shape_Area,citynameUP,prUP
314,雅安市,四川省,0.637635568729488,8.689812721482177,1.405948287347403,YA,SC
315,烟台市,山东省,0.623909663651109,11.831507779688618,1.398839146618719,YT,SD
316,延安市,陕西省,0.693862094647341,14.347394111241838,3.723019841779275,YA,SX
317,延边朝鲜族自治州,吉林省,0.689928770357646,18.44382559622232,4.793540486919751,YB,JL
318,盐城市,江苏省,0.689882516986727,8.36483568047217,1.505152535568961,YC,JS
319,扬州市,江苏省,0.64527772997291,5.282831828389377,0.633676859686817,YZ,JS
320,阳江市,广东省,0.581369592979039,7.167438832723652,0.683769788649943,YJ,GD
321,阳泉市,山西省,0.643665799054875,3.812552250107372,0.468528423704366,YQ,SX
322,伊春市,黑龙江省,0.604224729217158,16.46779169409303,3.937828369424009,YC,HL
323,伊犁哈萨克自治州,新疆维吾尔自治区,0.626843303224505,21.29444147565001,6.133178529937453,YL,XJ
324,宜宾市,四川省,0.603303311229337,8.643093337962606,1.222860891564778,YB,SC
325,宜昌市,湖北省,0.609157758574586,9.57440614424279,1.998366622126575,YC,HB
326,宜春市,江西省,0.620669381384845,11.15190925947232,1.71750266544114,YC,JX
327,益阳市,湖南省,0.558803868880848,10.86687204540946,1.136381455222186,YY,HN
328,银川市,宁夏回族自治区,0.600479004331332,5.061808049786682,0.715173012612644,YC,NX
329,鹰潭市,江西省,0.627842886085328,3.80780108568456,0.327062471611503,YT,JX
330,营口市,辽宁省,0.604717208030945,5.563847286806081,0.568356247944262,YK,LN
331,永州市,湖南省,0.580884153473849,11.4841499886125,2.003699238717422,YZ,HN
332,榆林市,陕西省,0.552947503259029,19.225466027259415,4.403507578991587,YL,SX
333,玉林市,广西壮族自治区,0.511733052051641,8.209469532918817,1.124940535041265,YL,GX
334,玉树藏族自治州,青海省,0.95203086349414,35.47284175050163,20.05061728098263,YS,QH
335,玉溪市,云南省,0.606059312101008,11.888196466175026,1.327360745926192,YX,YN
336,岳阳市,湖南省,0.59190897698947,10.282250058720916,1.377464763491567,YY,HN
337,云浮市,广东省,0.573318217822126,6.514914105901193,0.684612433328111,YF,GD
338,运城市,山西省,0.58615167496719,6.954664424516183,1.408291386662424,YC,SX
339,枣庄市,山东省,0.626124622584354,3.783767879287939,0.449008382442162,ZZ,SD
340,湛江市,广东省,0.628489218668733,14.816241937182715,1.074218429555235,ZJ,GD
341,张家界市,湖南省,0.707894147757038,6.656811269161379,0.886239847996459,ZJ,HN
342,张家口市,河北省,0.704425457958097,14.062786719627368,3.929465366448482,ZJ,HB
343,张掖市,甘肃省,0.571669730902818,18.491977451003844,4.004667276280811,ZY,GS
344,漳州市,福建省,0.486392174480711,10.283777224722288,1.124243657868378,ZZ,FJ
345,长春市,吉林省,0.684685808653863,14.443812658995752,2.788048097672397,CC,JL
346,长沙市,湖南省,0.620388477636195,9.506741172291424,1.086292294295268,CS,HN
347,长治市,山西省,0.60478948848915,7.195850342443776,1.40445661939392,ZZ,SX
348,昭通市,云南省,0.560824132957257,12.04607946268121,2.052649552739792,ZT,YN
349,肇庆市,广东省,0.593307135925334,7.604194167753546,1.317452166540401,ZQ,GD
350,镇江市,江苏省,0.610526419815763,4.382937442334677,0.366782603609869,ZJ,JS
351,中山市,广东省,0.586105957594001,2.10218134608496,0.153089965708853,ZS,GD
352,中卫市,宁夏回族自治区,0.588877218147724,10.962360177869478,1.382628240412574,ZW,NX
353,重庆市,重庆市,0.614858195647519,32.24743692390983,7.706424327643165,CQ,CQ
354,舟山市,浙江省,0.694528963647085,11.827977554299563,0.129037672774021,ZS,ZJ
355,周口市,河南省,0.613233392818162,7.594907810689778,1.163340064579292,ZK,HN
356,珠海市,广东省,0.635192404753331,6.13854988216524,0.138850907583066,ZH,GD
357,株洲市,湖南省,0.620802904823596,8.284163901069823,1.023706428530539,ZZ,HN
358,驻马店市,河南省,0.551921651662577,8.552572397399684,1.453950563686149,ZM,HN
359,资阳市,四川省,0.596878641745668,6.375440335830103,0.537686092351844,ZY,SC
360,淄博市,山东省,0.626483658115238,7.286133766893662,0.600994594696905,ZB,SD
361,自贡市,四川省,0.6440274650051,6.242448925524251,0.406812647917984,ZG,SC
362,遵义市,贵州省,0.584601089355411,16.651271209910288,2.827323356963668,ZY,GZ
363,三沙市,海南省,0.0,36.93156981551239,0.52621330056521,SS,HN
364,济宁市,山东省,0.639431176882364,9.920593408868664,1.102936930329038,JN,SD
365,铁门关市,新疆维吾尔自治区,0.0,8.549742274338383,0.216097366759505,TM,XJ
366,徐州市,江苏省,0.60413769581008,9.601214853138735,1.099634705087946,XZ,JS
367,新星市,新疆维吾尔自治区,0.575363875186327,2.176205410334571,0.06522340550294,XX,XJ
368,丹东市,辽宁省,0.610550516164804,10.56905037455337,1.600611427174655,DD,LN
369,郑州市,河南省,0.606452611103581,6.134761600174469,0.763526378833671,ZZ,HN
370,阿坝藏族羌族自治州,四川省,0.794581829290153,24.175647724233126,7.957278639161501,AB,SC
